sep=;
Version CSV1|Tool WEBBOX|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 2

;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox)
20.01.2014 00:25;0,00;-198,40;0,00;24,40;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,60;0,00;24,30;Ok;0,00;-273,10;0,00;23,80;Ok;0,00;-273,10;0,00;25,70;Ok;0,00;-273,10;0,00;24,00;Ok
20.01.2014 00:30;0,00;-198,40;0,00;24,40;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,60;0,00;24,30;Ok;0,00;-273,10;0,00;23,80;Ok;0,00;-273,10;0,00;25,70;Ok;0,00;-273,10;0,00;24,00;Ok
20.01.2014 00:35;0,00;-198,40;0,00;24,30;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,40;0,00;24,20;Ok;0,00;-273,10;0,00;23,60;Ok;0,00;-273,10;0,00;25,60;Ok;0,00;-273,10;0,00;24,00;Ok
20.01.2014 00:40;0,00;-198,50;0,00;24,20;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,30;0,00;24,00;Ok;0,00;-273,10;0,00;23,50;Ok;0,00;-273,10;0,00;25,60;Ok;0,00;-273,10;0,00;23,90;Ok
20.01.2014 00:45;0,00;-198,50;0,00;24,10;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,20;0,00;23,90;Ok;0,00;-273,10;1,00;23,50;Ok;0,00;-273,10;0,00;25,50;Ok;0,00;-273,10;0,00;23,80;Ok
20.01.2014 00:50;0,00;-198,50;0,00;24,10;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,10;0,00;23,70;Ok;0,00;-273,10;1,00;23,70;Ok;0,00;-273,10;0,00;25,30;Ok;0,00;-273,10;0,00;23,70;Ok
20.01.2014 00:55;0,00;-198,50;0,00;24,00;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,10;0,00;23,70;Ok;0,00;-273,10;1,00;23,70;Ok;0,00;-273,10;0,00;25,20;Ok;0,00;-273,10;0,00;23,70;Ok
20.01.2014 01:00;0,00;-198,50;0,00;23,90;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,10;0,00;23,60;Ok;0,00;-273,10;1,00;23,60;Ok;0,00;-273,10;0,00;25,00;Ok;0,00;-273,10;0,00;23,70;Ok
20.01.2014 01:05;0,00;-198,50;0,00;23,90;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,00;0,00;23,60;Ok;0,00;-273,10;1,00;23,70;Ok;0,00;-273,10;0,00;24,90;Ok;0,00;-273,10;0,00;23,70;Ok
20.01.2014 01:10;0,00;-198,50;0,00;24,00;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,10;0,00;23,60;Ok;0,00;-273,10;0,00;23,80;Ok;0,00;-273,10;0,00;24,90;Ok;0,00;-273,10;0,00;23,80;Ok
20.01.2014 01:15;0,00;-198,50;0,00;24,00;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,20;0,00;23,60;Ok;0,00;-273,10;0,00;23,70;Ok;0,00;-273,10;0,00;24,90;Ok;0,00;-273,10;0,00;24,00;Ok
20.01.2014 01:20;0,00;-198,50;0,00;24,00;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,10;0,00;23,60;Ok;0,00;-273,10;1,00;23,70;Ok;0,00;-273,10;0,00;24,90;Ok;0,00;-273,10;0,00;24,10;Ok
20.01.2014 01:25;0,00;-198,50;0,00;24,00;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,10;0,00;23,60;Ok;0,00;-273,10;0,00;23,60;Ok;0,00;-273,10;0,00;24,90;Ok;0,00;-273,10;0,00;24,10;Ok
20.01.2014 01:30;0,00;-198,50;0,00;24,00;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,10;0,00;23,60;Ok;0,00;-273,10;1,00;23,60;Ok;0,00;-273,10;0,00;24,80;Ok;0,00;-273,10;0,00;24,10;Ok
20.01.2014 01:35;0,00;-198,50;0,00;24,00;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,10;0,00;23,50;Ok;0,00;-273,10;0,00;23,60;Ok;0,00;-273,10;0,00;24,80;Ok;0,00;-273,10;0,00;24,10;Ok
20.01.2014 01:40;0,00;-198,50;0,00;24,00;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,10;0,00;23,50;Ok;0,00;-273,10;1,00;23,70;Ok;0,00;-273,10;0,00;24,80;Ok;0,00;-273,10;0,00;24,20;Ok
20.01.2014 01:45;0,00;-198,50;0,00;23,90;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,00;0,00;23,50;Ok;0,00;-273,10;0,00;23,50;Ok;0,00;-273,10;0,00;24,80;Ok;0,00;-273,10;0,00;24,00;Ok
20.01.2014 01:50;0,00;-198,50;0,00;23,80;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,00;0,00;23,40;Ok;0,00;-273,10;0,00;23,40;Ok;0,00;-273,10;0,00;24,70;Ok;0,00;-273,10;0,00;23,80;Ok
20.01.2014 01:55;0,00;-198,50;0,00;23,80;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,00;0,00;23,40;Ok;0,00;-273,10;0,00;23,30;Ok;0,00;-273,10;0,00;24,70;Ok;0,00;-273,10;0,00;23,80;Ok
20.01.2014 02:00;0,00;-198,50;0,00;23,80;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,00;0,00;23,40;Ok;0,00;-273,10;0,00;23,40;Ok;0,00;-273,10;0,00;24,70;Ok;0,00;-273,10;0,00;23,70;Ok
20.01.2014 02:05;0,00;-198,60;0,00;23,70;72864,17;92046,52;60004,06;25908,00;Ok;0,00;24,90;0,00;23,40;Ok;0,00;-273,10;0,00;23,30;Ok;0,00;-273,10;0,00;24,60;Ok;0,00;-273,10;0,00;23,60;Ok
20.01.2014 02:10;0,00;-198,60;0,00;23,80;72864,17;92046,52;60004,06;25908,00;Ok;0,00;24,80;0,00;23,40;Ok;0,00;-273,10;0,00;23,60;Ok;0,00;-273,10;0,00;24,90;Ok;0,00;-273,10;0,00;23,60;Ok
20.01.2014 02:15;0,00;-198,60;0,00;24,10;72864,17;92046,52;60004,06;25908,00;Ok;0,00;24,70;0,00;23,60;Ok;0,00;-273,10;0,00;24,10;Ok;0,00;-273,10;0,00;25,10;Ok;0,00;-273,10;0,00;23,70;Ok
20.01.2014 02:20;0,00;-198,60;0,00;24,30;72864,17;92046,52;60004,06;25908,00;Ok;0,00;24,80;0,00;23,90;Ok;0,00;-273,10;0,00;24,30;Ok;0,00;-273,10;0,00;25,30;Ok;0,00;-273,10;0,00;23,90;Ok
20.01.2014 02:25;0,00;-198,60;0,00;24,40;72864,17;92046,52;60004,06;25908,00;Ok;0,00;24,80;0,00;24,10;Ok;0,00;-273,10;0,00;24,30;Ok;0,00;-273,10;0,00;25,30;Ok;0,00;-273,10;0,00;24,20;Ok
20.01.2014 02:30;0,00;-198,60;0,00;24,50;72864,17;92046,52;60004,06;25908,00;Ok;0,00;24,90;0,00;24,20;Ok;0,00;-273,10;0,00;24,30;Ok;0,00;-273,10;0,00;25,50;Ok;0,00;-273,10;0,00;24,30;Ok
20.01.2014 02:35;0,00;-198,60;0,00;24,50;72864,17;92046,52;60004,06;25908,00;Ok;0,00;24,90;0,00;24,10;Ok;0,00;-273,10;0,00;24,20;Ok;0,00;-273,10;0,00;25,40;Ok;0,00;-273,10;0,00;24,30;Ok
20.01.2014 02:40;0,00;-198,60;0,00;24,30;72864,17;92046,52;60004,06;25908,00;Ok;0,00;24,80;0,00;24,00;Ok;0,00;-273,10;0,00;24,00;Ok;0,00;-273,10;0,00;25,30;Ok;0,00;-273,10;0,00;24,10;Ok
20.01.2014 02:45;0,00;-198,50;0,00;24,30;72864,17;92046,52;60004,06;25908,00;Ok;0,00;25,00;0,00;24,00;Ok;0,00;-273,10;0,00;24,00;Ok;0,00;-273,10;0,00;25,30;Ok;0,00;-273,10;0,00;24,20;Ok
20.01.2014 02:50;0,00;-198,60;0,00;24,20;72864,17;92046,52;60004,06;25908,00;Ok;0,00;24,90;0,00;23,80;Ok;0,00;-273,10;0,00;23,90;Ok;0,00;-273,10;0,00;25,20;Ok;0,00;-273,10;0,00;24,20;Ok
20.01.2014 02:55;0,00;-198,60;0,00;24,00;72864,17;92046,52;60004,06;25908,00;Ok;0,00;24,90;0,00;23,60;Ok;0,00;-273,10;0,00;23,70;Ok;0,00;-273,10;0,00;25,00;Ok;0,00;-273,10;0,00;24,00;Ok
