sep=;
Version CSV1|Tool WEBBOX|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 2

;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox)
13.01.2014 00:25;0,10;-198,20;0,00;26,00;72441,38;91482,78;59623,08;25778,00;Ok;0,42;26,40;0,00;25,70;Ok;0,00;-273,10;0,00;25,60;Ok;0,00;-273,10;0,00;27,30;Ok;0,00;-273,10;0,00;25,50;Ok
13.01.2014 00:30;0,33;-198,20;0,00;26,00;72441,38;91482,78;59623,08;25778,00;Ok;1,35;26,40;0,00;25,70;Ok;0,00;-273,10;1,00;25,70;Ok;0,00;-273,10;0,00;27,20;Ok;0,00;-273,10;0,00;25,60;Ok
13.01.2014 00:35;0,31;-198,20;0,00;25,90;72441,38;91482,78;59623,08;25778,00;Ok;1,24;26,30;0,00;25,60;Ok;0,00;-273,10;0,00;25,50;Ok;0,00;-273,10;0,00;27,20;Ok;0,00;-273,10;0,00;25,50;Ok
13.01.2014 00:40;0,39;-198,20;0,00;25,80;72441,38;91482,78;59623,08;25778,00;Ok;1,57;26,30;0,00;25,50;Ok;0,00;-273,10;0,00;25,40;Ok;0,00;-273,10;0,00;27,10;Ok;0,00;-273,10;0,00;25,40;Ok
13.01.2014 00:45;0,14;-198,20;0,00;25,70;72441,38;91482,78;59623,08;25778,00;Ok;0,59;26,20;0,00;25,40;Ok;0,00;-273,10;0,00;25,30;Ok;0,00;-273,10;0,00;27,00;Ok;0,00;-273,10;0,00;25,40;Ok
13.01.2014 00:50;0,23;-198,20;0,00;25,60;72441,38;91482,78;59623,08;25778,00;Ok;0,92;26,20;0,00;25,20;Ok;0,00;-273,10;1,00;25,20;Ok;0,00;-273,10;0,00;26,80;Ok;0,00;-273,10;0,00;25,20;Ok
13.01.2014 00:55;0,17;-198,30;0,00;25,50;72441,38;91482,78;59623,08;25778,00;Ok;0,69;26,10;0,00;25,10;Ok;0,00;-273,10;0,00;25,10;Ok;0,00;-273,10;0,00;26,70;Ok;0,00;-273,10;0,00;25,10;Ok
13.01.2014 01:00;0,03;-198,30;0,00;25,30;72441,38;91482,78;59623,08;25778,00;Ok;0,15;26,00;0,00;25,00;Ok;0,00;-273,10;0,00;24,90;Ok;0,00;-273,10;0,00;26,50;Ok;0,00;-273,10;0,00;24,90;Ok
13.01.2014 01:05;0,01;-198,30;0,00;25,20;72441,38;91482,78;59623,08;25778,00;Ok;0,07;26,00;0,00;24,90;Ok;0,00;-273,10;0,00;24,70;Ok;0,00;-273,10;0,00;26,40;Ok;0,00;-273,10;0,00;24,80;Ok
13.01.2014 01:10;0,00;-198,30;0,00;25,10;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,90;0,00;24,80;Ok;0,00;-273,10;0,00;24,70;Ok;0,00;-273,10;0,00;26,30;Ok;0,00;-273,10;0,00;24,70;Ok
13.01.2014 01:15;0,07;-198,30;0,00;25,00;72441,38;91482,78;59623,08;25778,00;Ok;0,29;25,90;0,00;24,70;Ok;0,00;-273,10;1,00;24,70;Ok;0,00;-273,10;0,00;26,20;Ok;0,00;-273,10;0,00;24,70;Ok
13.01.2014 01:20;0,01;-198,30;0,00;25,00;72441,38;91482,78;59623,08;25778,00;Ok;0,05;25,90;0,00;24,70;Ok;0,00;-273,10;0,00;24,80;Ok;0,00;-273,10;0,00;26,20;Ok;0,00;-273,10;0,00;24,60;Ok
13.01.2014 01:25;0,09;-198,30;0,00;25,00;72441,38;91482,78;59623,08;25778,00;Ok;0,37;25,90;0,00;24,70;Ok;0,00;-273,10;0,00;24,70;Ok;0,00;-273,10;0,00;26,10;Ok;0,00;-273,10;0,00;24,70;Ok
13.01.2014 01:30;0,28;-198,30;0,00;24,90;72441,38;91482,78;59623,08;25778,00;Ok;1,15;25,90;0,00;24,70;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;26,10;Ok;0,00;-273,10;0,00;24,60;Ok
13.01.2014 01:35;0,17;-198,30;0,00;24,90;72441,38;91482,78;59623,08;25778,00;Ok;0,69;25,80;0,00;24,70;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;26,10;Ok;0,00;-273,10;0,00;24,50;Ok
13.01.2014 01:40;0,02;-198,30;0,00;24,90;72441,38;91482,78;59623,08;25778,00;Ok;0,11;25,80;0,00;24,60;Ok;0,00;-273,10;0,00;24,60;Ok;0,00;-273,10;0,00;26,00;Ok;0,00;-273,10;0,00;24,50;Ok
13.01.2014 01:45;0,11;-198,30;0,00;24,80;72441,38;91482,78;59623,08;25778,00;Ok;0,47;25,80;0,00;24,50;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;26,00;Ok;0,00;-273,10;0,00;24,50;Ok
13.01.2014 01:50;0,08;-198,40;0,00;24,80;72441,38;91482,78;59623,08;25778,00;Ok;0,33;25,70;0,00;24,50;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;26,00;Ok;0,00;-273,10;0,00;24,40;Ok
13.01.2014 01:55;0,08;-198,40;0,00;24,80;72441,38;91482,78;59623,08;25778,00;Ok;0,33;25,70;0,00;24,50;Ok;0,00;-273,10;0,00;24,60;Ok;0,00;-273,10;0,00;26,00;Ok;0,00;-273,10;0,00;24,40;Ok
13.01.2014 02:00;0,06;-198,40;0,00;25,00;72441,38;91482,78;59623,08;25778,00;Ok;0,24;25,70;0,00;24,60;Ok;0,00;-273,10;0,00;24,70;Ok;0,00;-273,10;0,00;26,10;Ok;0,00;-273,10;0,00;24,60;Ok
13.01.2014 02:05;0,01;-198,30;0,00;25,20;72441,38;91482,78;59623,08;25778,00;Ok;0,05;25,80;0,00;24,80;Ok;0,00;-273,10;0,00;24,90;Ok;0,00;-273,10;0,00;26,30;Ok;0,00;-273,10;0,00;24,80;Ok
13.01.2014 02:10;0,00;-198,30;0,00;25,30;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,80;0,00;24,90;Ok;0,00;-273,10;0,00;25,10;Ok;0,00;-273,10;0,00;26,40;Ok;0,00;-273,10;0,00;24,90;Ok
13.01.2014 02:15;0,03;-198,30;0,00;25,30;72441,38;91482,78;59623,08;25778,00;Ok;0,13;25,80;0,00;24,90;Ok;0,00;-273,10;0,00;25,10;Ok;0,00;-273,10;0,00;26,40;Ok;0,00;-273,10;0,00;24,90;Ok
13.01.2014 02:20;0,12;-198,30;0,00;25,30;72441,38;91482,78;59623,08;25778,00;Ok;0,51;25,80;0,00;25,00;Ok;0,00;-273,10;0,00;25,00;Ok;0,00;-273,10;0,00;26,50;Ok;0,00;-273,10;0,00;24,90;Ok
13.01.2014 02:25;0,06;-198,30;0,00;25,40;72441,38;91482,78;59623,08;25778,00;Ok;0,27;25,80;0,00;25,10;Ok;0,00;-273,10;0,00;25,10;Ok;0,00;-273,10;0,00;26,50;Ok;0,00;-273,10;0,00;24,90;Ok
13.01.2014 02:30;0,01;-198,30;0,00;25,40;72441,38;91482,78;59623,08;25778,00;Ok;0,07;25,80;0,00;25,10;Ok;0,00;-273,10;0,00;25,10;Ok;0,00;-273,10;0,00;26,60;Ok;0,00;-273,10;0,00;24,90;Ok
13.01.2014 02:35;0,00;-198,30;0,00;25,40;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,80;0,00;25,20;Ok;0,00;-273,10;0,00;25,10;Ok;0,00;-273,10;0,00;26,70;Ok;0,00;-273,10;0,00;24,90;Ok
13.01.2014 02:40;0,00;-198,30;0,00;25,50;72441,38;91482,78;59623,08;25778,00;Ok;0,02;25,80;0,00;25,20;Ok;0,00;-273,10;0,00;25,10;Ok;0,00;-273,10;0,00;26,80;Ok;0,00;-273,10;0,00;25,00;Ok
13.01.2014 02:45;0,09;-198,30;0,00;25,50;72441,38;91482,78;59623,08;25778,00;Ok;0,39;25,80;0,00;25,20;Ok;0,00;-273,10;0,00;25,10;Ok;0,00;-273,10;0,00;26,80;Ok;0,00;-273,10;0,00;25,00;Ok
13.01.2014 02:50;0,02;-198,30;0,00;25,50;72441,38;91482,78;59623,08;25778,00;Ok;0,10;25,80;0,00;25,20;Ok;0,00;-273,10;0,00;25,00;Ok;0,00;-273,10;0,00;26,80;Ok;0,00;-273,10;0,00;25,00;Ok
13.01.2014 02:55;0,08;-198,30;0,00;25,30;72441,38;91482,78;59623,08;25778,00;Ok;0,32;25,80;0,00;25,00;Ok;0,00;-273,10;0,00;24,80;Ok;0,00;-273,10;0,00;26,60;Ok;0,00;-273,10;0,00;24,90;Ok
13.01.2014 03:00;0,12;-198,40;0,00;25,10;72441,38;91482,78;59623,08;25778,00;Ok;0,48;25,70;0,00;24,80;Ok;0,00;-273,10;0,00;24,60;Ok;0,00;-273,10;0,00;26,40;Ok;0,00;-273,10;0,00;24,60;Ok
13.01.2014 03:05;0,00;-198,40;0,00;24,90;72441,38;91482,78;59623,08;25778,00;Ok;0,03;25,60;0,00;24,60;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;26,10;Ok;0,00;-273,10;0,00;24,40;Ok
13.01.2014 03:10;0,06;-198,40;0,00;24,80;72441,38;91482,78;59623,08;25778,00;Ok;0,25;25,60;0,00;24,50;Ok;0,00;-273,10;0,00;24,40;Ok;0,00;-273,10;0,00;26,00;Ok;0,00;-273,10;0,00;24,30;Ok
13.01.2014 03:15;0,00;-198,40;0,00;24,60;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,50;0,00;24,30;Ok;0,00;-273,10;0,00;24,30;Ok;0,00;-273,10;0,00;25,80;Ok;0,00;-273,10;0,00;24,20;Ok
13.01.2014 03:20;0,00;-198,50;0,00;24,50;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,30;0,00;24,10;Ok;0,00;-273,10;0,00;24,30;Ok;0,00;-273,10;0,00;25,70;Ok;0,00;-273,10;0,00;24,10;Ok
13.01.2014 03:25;0,00;-198,50;0,00;24,70;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,20;0,00;24,20;Ok;0,00;-273,10;0,00;24,60;Ok;0,00;-273,10;0,00;25,80;Ok;0,00;-273,10;0,00;24,20;Ok
13.01.2014 03:30;0,00;-198,50;0,00;24,90;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,30;0,00;24,50;Ok;0,00;-273,10;0,00;24,80;Ok;0,00;-273,10;0,00;26,00;Ok;0,00;-273,10;0,00;24,40;Ok
13.01.2014 03:35;0,00;-198,50;0,00;25,10;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,30;0,00;24,70;Ok;0,00;-273,10;0,00;25,00;Ok;0,00;-273,10;0,00;26,20;Ok;0,00;-273,10;0,00;24,70;Ok
13.01.2014 03:40;0,00;-198,50;0,00;25,20;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,30;0,00;24,80;Ok;0,00;-273,10;0,00;25,10;Ok;0,00;-273,10;0,00;26,40;Ok;0,00;-273,10;0,00;24,80;Ok
13.01.2014 03:45;0,00;-198,50;0,00;25,30;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,30;0,00;24,90;Ok;0,00;-273,10;0,00;25,10;Ok;0,00;-273,10;0,00;26,50;Ok;0,00;-273,10;0,00;25,00;Ok
13.01.2014 03:50;0,00;-198,50;0,00;25,30;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,30;0,00;24,90;Ok;0,00;-273,10;0,00;25,10;Ok;0,00;-273,10;0,00;26,50;Ok;0,00;-273,10;0,00;25,00;Ok
13.01.2014 03:55;0,00;-198,40;0,00;25,20;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,40;0,00;24,80;Ok;0,00;-273,10;0,00;25,00;Ok;0,00;-273,10;0,00;26,40;Ok;0,00;-273,10;0,00;24,90;Ok
13.01.2014 04:00;0,00;-198,40;0,00;25,10;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,50;0,00;24,70;Ok;0,00;-273,10;0,00;24,70;Ok;0,00;-273,10;0,00;26,20;Ok;0,00;-273,10;0,00;24,80;Ok
13.01.2014 04:05;0,00;-198,50;0,00;24,80;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,30;0,00;24,40;Ok;0,00;-273,10;0,00;24,40;Ok;0,00;-273,10;0,00;26,00;Ok;0,00;-273,10;0,00;24,50;Ok
13.01.2014 04:10;0,00;-198,50;0,00;24,70;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,30;0,00;24,40;Ok;0,00;-273,10;0,00;24,30;Ok;0,00;-273,10;0,00;25,90;Ok;0,00;-273,10;0,00;24,30;Ok
13.01.2014 04:15;0,00;-198,50;0,00;24,60;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,30;0,00;24,30;Ok;0,00;-273,10;0,00;24,30;Ok;0,00;-273,10;0,00;25,80;Ok;0,00;-273,10;0,00;24,20;Ok
13.01.2014 04:20;0,00;-198,50;0,00;24,60;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,20;0,00;24,30;Ok;0,00;-273,10;0,00;24,20;Ok;0,00;-273,10;0,00;25,80;Ok;0,00;-273,10;0,00;24,20;Ok
13.01.2014 04:25;0,00;-198,50;0,00;24,60;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,20;0,00;24,20;Ok;0,00;-273,10;0,00;24,20;Ok;0,00;-273,10;0,00;25,80;Ok;0,00;-273,10;0,00;24,20;Ok
13.01.2014 04:30;0,00;-198,50;0,00;24,60;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,20;0,00;24,30;Ok;0,00;-273,10;0,00;24,30;Ok;0,00;-273,10;0,00;25,80;Ok;0,00;-273,10;0,00;24,20;Ok
13.01.2014 04:35;0,00;-198,50;0,00;24,60;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,20;0,00;24,20;Ok;0,00;-273,10;0,00;24,30;Ok;0,00;-273,10;0,00;25,80;Ok;0,00;-273,10;0,00;24,20;Ok
13.01.2014 04:40;0,00;-198,50;0,00;24,40;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,10;0,00;24,00;Ok;0,00;-273,10;0,00;24,20;Ok;0,00;-273,10;0,00;25,60;Ok;0,00;-273,10;0,00;24,10;Ok
13.01.2014 04:45;0,00;-198,50;0,00;24,30;72441,38;91482,78;59623,08;25778,00;Ok;0,00;25,00;0,00;23,90;Ok;0,00;-273,10;0,00;24,00;Ok;0,00;-273,10;0,00;25,40;Ok;0,00;-273,10;0,00;23,90;Ok
13.01.2014 04:50;0,00;-198,60;0,00;24,20;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,90;0,00;23,80;Ok;0,00;-273,10;0,00;24,10;Ok;0,00;-273,10;0,00;25,40;Ok;0,00;-273,10;0,00;23,80;Ok
13.01.2014 04:55;0,00;-198,60;0,00;24,30;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,90;0,00;23,90;Ok;0,00;-273,10;0,00;24,00;Ok;0,00;-273,10;0,00;25,40;Ok;0,00;-273,10;0,00;23,90;Ok
13.01.2014 05:00;0,00;-198,60;0,00;24,30;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,90;0,00;24,00;Ok;0,00;-273,10;0,00;24,00;Ok;0,00;-273,10;0,00;25,50;Ok;0,00;-273,10;0,00;23,90;Ok
13.01.2014 05:05;0,00;-198,60;0,00;24,30;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,90;0,00;24,00;Ok;0,00;-273,10;0,00;24,10;Ok;0,00;-273,10;0,00;25,50;Ok;0,00;-273,10;0,00;23,90;Ok
13.01.2014 05:10;0,00;-198,60;0,00;24,30;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,90;0,00;23,90;Ok;0,00;-273,10;0,00;24,10;Ok;0,00;-273,10;0,00;25,40;Ok;0,00;-273,10;0,00;23,90;Ok
13.01.2014 05:15;0,00;-198,60;0,00;24,20;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,80;0,00;23,90;Ok;0,00;-273,10;0,00;24,00;Ok;0,00;-273,10;0,00;25,30;Ok;0,00;-273,10;0,00;23,80;Ok
13.01.2014 05:20;0,00;-198,60;0,00;24,30;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,80;0,00;24,00;Ok;0,00;-273,10;0,00;24,10;Ok;0,00;-273,10;0,00;25,30;Ok;0,00;-273,10;0,00;23,80;Ok
13.01.2014 05:25;0,00;-198,60;0,00;24,40;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,80;0,00;24,00;Ok;0,00;-273,10;0,00;24,30;Ok;0,00;-273,10;0,00;25,40;Ok;0,00;-273,10;0,00;23,90;Ok
13.01.2014 05:30;0,00;-198,60;0,00;24,40;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,80;0,00;24,10;Ok;0,00;-273,10;0,00;24,20;Ok;0,00;-273,10;0,00;25,50;Ok;0,00;-273,10;0,00;24,00;Ok
13.01.2014 05:35;0,00;-198,60;0,00;24,50;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,80;0,00;24,20;Ok;0,00;-273,10;0,00;24,20;Ok;0,00;-273,10;0,00;25,60;Ok;0,00;-273,10;0,00;24,10;Ok
13.01.2014 05:40;0,00;-198,60;0,00;24,60;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,90;0,00;24,30;Ok;0,00;-273,10;0,00;24,40;Ok;0,00;-273,10;0,00;25,80;Ok;0,00;-273,10;0,00;24,20;Ok
13.01.2014 05:45;0,00;-198,60;0,00;24,70;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,90;0,00;24,40;Ok;0,00;-273,10;0,00;24,40;Ok;0,00;-273,10;0,00;25,90;Ok;0,00;-273,10;0,00;24,20;Ok
13.01.2014 05:50;0,00;-198,60;0,00;24,70;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,90;0,00;24,30;Ok;0,00;-273,10;0,00;24,40;Ok;0,00;-273,10;0,00;25,90;Ok;0,00;-273,10;0,00;24,30;Ok
13.01.2014 05:55;0,00;-198,60;0,00;24,70;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,90;0,00;24,30;Ok;0,00;-273,10;0,00;24,40;Ok;0,00;-273,10;0,00;25,80;Ok;0,00;-273,10;0,00;24,30;Ok
13.01.2014 06:00;0,00;-198,60;0,00;24,60;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,90;0,00;24,20;Ok;0,00;-273,10;0,00;24,40;Ok;0,00;-273,10;0,00;25,70;Ok;0,00;-273,10;0,00;24,20;Ok
13.01.2014 06:05;0,00;-198,60;0,00;24,60;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,90;0,00;24,20;Ok;0,00;-273,10;0,00;24,50;Ok;0,00;-273,10;0,00;25,70;Ok;0,00;-273,10;0,00;24,30;Ok
13.01.2014 06:10;0,00;-198,60;0,00;24,70;72441,38;91482,78;59623,08;25778,00;Ok;0,00;24,90;0,00;24,20;Ok;0,00;-273,10;0,00;24,70;Ok;0,00;-273,10;0,00;25,80;Ok;0,00;-273,10;0,00;24,30;Ok
