sep=;
Version CSV1|Tool WEBBOX|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 2

;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;Sunny WebBox;SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025690 (Mono Silicon);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025691 (Sanyo Hybrid HIT);SN: 2002025693 (SulfurCell CiS Thin film);SN: 2002025693 (SulfurCell CiS Thin film);SN: 2002025693 (SulfurCell CiS Thin film);SN: 2002025693 (SulfurCell CiS Thin film);SN: 2002025693 (SulfurCell CiS Thin film);SN: 2002025693 (SulfurCell CiS Thin film);SN: 2002025693 (SulfurCell CiS Thin film);SN: 2002025693 (SulfurCell CiS Thin film);SN: 2002025693 (SulfurCell CiS Thin film);SN: 2002025693 (SulfurCell CiS Thin film);SN: 2002025693 (SulfurCell CiS Thin film);SN: 2002025693 (SulfurCell CiS Thin film);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025697 (Poly Silicon);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2002025715 (Amorphous);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352583 (Amorphous old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 2000352586 (Poly Silicon Old);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 24108 (Poly Silicon Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25449 (Sanyo Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25464 (SulfurCell Sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox);SN: 25562 (Amorphous sensorbox)
09.01.2014 18:15;0,00;208,66;0,08;-197,60;0,00;0,00;41,65;198,06;-2,00;2665,17;28,80;72256,76;91243,88;59467,31;25663,00;Ok;0,00;255,00;0,00;0,00;0,00;0,00;3000,00;6872,91;8509,15;7271,70;EvtAcV;PrioC;4208,00;Alm;0,00;141,00;0,00;49,91;238,64;0,00;3000,00;5967,09;8574,48;6636,63;NoneMsg;NonePrio;2708,00;Ok;;;;;;;;;;;;;0,00;160,00;0,00;49,90;237,19;0,00;3000,00;7137,51;8597,02;8463,23;NoneMsg;NonePrio;3711,00;Ok;0,00;136,00;0,00;49,89;238,08;0,00;3000,00;5588,77;8565,89;6982,72;NoneMsg;NonePrio;3486,00;Ok;0,00;310,00;50,11;237,07;-1,00;991,00;20507,52;24561,43;12859,73;EvtLeakRis;NonePrio;4799,00;Ok;0,00;250,00;50,10;237,38;-1,00;3000,00;20023,98;24437,66;10906,57;NoneMsg;NonePrio;4696,00;Ok;0,33;28,70;1,00;28,20;Ok;0,00;-273,10;0,00;28,30;Ok;0,00;-273,10;0,00;30,60;Ok;0,00;-273,10;0,00;28,20;Ok
09.01.2014 18:20;0,00;145,66;0,00;-197,60;0,00;0,00;49,90;237,97;0,00;;28,60;72256,76;91243,88;59467,31;25663,00;Ok;;;;;;;;;;;;;;;0,00;141,00;0,00;49,91;238,64;0,00;3000,00;5967,09;8574,48;6636,63;NoneMsg;NonePrio;2708,00;Ok;;;;;;;;;;;;;0,00;160,00;0,00;49,90;237,19;0,00;3000,00;7137,51;8597,02;8463,23;NoneMsg;NonePrio;3711,00;Ok;0,00;136,00;0,00;49,89;238,08;0,00;3000,00;5588,77;8565,89;6982,72;NoneMsg;NonePrio;3486,00;Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;0,02;28,60;0,00;28,10;Ok;0,00;-273,10;0,00;28,30;Ok;0,00;-273,10;0,00;30,30;Ok;0,00;-273,10;0,00;27,80;Ok
09.01.2014 18:25;;;0,00;-197,70;0,00;;;;;;28,30;72256,76;91243,88;59467,31;25663,00;Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;28,40;0,00;27,90;Ok;0,00;-273,10;0,00;28,20;Ok;0,00;-273,10;0,00;29,90;Ok;0,00;-273,10;0,00;27,50;Ok
09.01.2014 18:30;;;0,00;-197,70;0,00;;;;;;28,10;72256,76;91243,88;59467,31;25663,00;Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;28,40;0,00;27,80;Ok;0,00;-273,10;0,00;27,90;Ok;0,00;-273,10;0,00;29,60;Ok;0,00;-273,10;0,00;27,30;Ok
09.01.2014 18:35;;;0,04;-197,70;0,00;;;;;;28,00;72256,76;91243,88;59467,31;25663,00;Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,16;28,30;0,00;27,60;Ok;0,00;-273,10;0,00;28,10;Ok;0,00;-273,10;0,00;29,40;Ok;0,00;-273,10;0,00;27,10;Ok
09.01.2014 18:40;;;0,00;-197,70;0,00;;;;;;27,80;72256,76;91243,88;59467,31;25663,00;Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;28,20;0,00;27,50;Ok;0,00;-273,10;0,00;27,80;Ok;0,00;-273,10;0,00;29,10;Ok;0,00;-273,10;0,00;27,00;Ok
09.01.2014 18:45;;;0,00;-197,70;0,00;;;;;;27,60;72256,76;91243,88;59467,31;25663,00;Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;28,20;0,00;27,40;Ok;0,00;-273,10;0,00;27,40;Ok;0,00;-273,10;0,00;29,00;Ok;0,00;-273,10;0,00;26,80;Ok
09.01.2014 18:50;;;0,00;-197,80;0,00;;;;;;27,50;72256,76;91243,88;59467,31;25663,00;Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;28,10;0,00;27,30;Ok;0,00;-273,10;0,00;27,20;Ok;0,00;-273,10;0,00;28,90;Ok;0,00;-273,10;0,00;26,60;Ok
09.01.2014 18:55;;;0,00;-197,80;0,00;;;;;;27,40;72256,76;91243,88;59467,31;25663,00;Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;28,10;0,00;27,30;Ok;0,00;-273,10;0,00;27,20;Ok;0,00;-273,10;0,00;28,80;Ok;0,00;-273,10;0,00;26,50;Ok
09.01.2014 19:00;;;0,00;-197,80;0,00;;;;;;27,20;72256,76;91243,88;59467,31;25663,00;Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;28,00;0,00;27,10;Ok;0,00;-273,10;0,00;27,00;Ok;0,00;-273,10;0,00;28,60;Ok;0,00;-273,10;0,00;26,40;Ok
